bam_filename,bam_index_filename,dataset_pk,is_on_blob,library_id,sample_id
SA291N/A26506/merge32776_bwa-mem-0.7.6a-sb/100bp/hg19a/A26506_3_lanes_dupsFlagged.bam,SA291N/A26506/merge32776_bwa-mem-0.7.6a-sb/100bp/hg19a/A26506_3_lanes_dupsFlagged.bam.bai,5748,True,A26506,SA291N
SA280N/A26507/merge32766_bwa-mem-0.7.6a-sb/100bp/hg19a/A26507_3_lanes_dupsFlagged.bam,SA280N/A26507/merge32766_bwa-mem-0.7.6a-sb/100bp/hg19a/A26507_3_lanes_dupsFlagged.bam.bai,5749,True,A26507,SA280N
SA530/A30646/merge32454_bwa-mem-0.7.6a-sb/100bp-150bp/hg19a/A30646_6_lanes_dupsFlagged.bam,SA530/A30646/merge32454_bwa-mem-0.7.6a-sb/100bp-150bp/hg19a/A30646_6_lanes_dupsFlagged.bam.bai,4792,True,A30646,SA530
SA533/A30655/merge32455_bwa-mem-0.7.6a-sb/100bp-150bp/hg19a/A30655_6_lanes_dupsFlagged.bam,SA533/A30655/merge32455_bwa-mem-0.7.6a-sb/100bp-150bp/hg19a/A30655_6_lanes_dupsFlagged.bam.bai,4793,True,A30655,SA533
SA533N/A30656/merge32775_bwa-mem-0.7.6a-sb/100bp/hg19a/A30656_3_lanes_dupsFlagged.bam,SA533N/A30656/merge32775_bwa-mem-0.7.6a-sb/100bp/hg19a/A30656_3_lanes_dupsFlagged.bam.bai,5750,True,A30656,SA533N
SA535/A30661/merge32456_bwa-mem-0.7.6a-sb/100bp-150bp/hg19a/A30661_6_lanes_dupsFlagged.bam,SA535/A30661/merge32456_bwa-mem-0.7.6a-sb/100bp-150bp/hg19a/A30661_6_lanes_dupsFlagged.bam.bai,4794,True,A30661,SA535
SA535N/A30662/merge32780_bwa-mem-0.7.6a-sb/100bp/hg19a/A30662_3_lanes_dupsFlagged.bam,SA535N/A30662/merge32780_bwa-mem-0.7.6a-sb/100bp/hg19a/A30662_3_lanes_dupsFlagged.bam.bai,5751,True,A30662,SA535N
SA530N/A34827/merge32774_bwa-mem-0.7.6a-sb/100bp/hg19a/A34827_4_lanes_dupsFlagged.bam,SA530N/A34827/merge32774_bwa-mem-0.7.6a-sb/100bp/hg19a/A34827_4_lanes_dupsFlagged.bam.bai,5752,True,A34827,SA530N
SA576T/A44760/merge32788_bwa-mem-0.7.6a-sb/100bp/hg19a/A44760_5_lanes_dupsFlagged.bam,SA576T/A44760/merge32788_bwa-mem-0.7.6a-sb/100bp/hg19a/A44760_5_lanes_dupsFlagged.bam.bai,5821,True,A44760,SA576T
SA576N/A44773/merge32787_bwa-mem-0.7.6a-sb/100bp/hg19a/A44773_3_lanes_dupsFlagged.bam,SA576N/A44773/merge32787_bwa-mem-0.7.6a-sb/100bp/hg19a/A44773_3_lanes_dupsFlagged.bam.bai,5753,True,A44773,SA576N
MT3120/A46083/merge32457_bwa-mem-0.7.6a-sb/100bp-150bp/hg19a/A46083_4_lanes_dupsFlagged.bam,MT3120/A46083/merge32457_bwa-mem-0.7.6a-sb/100bp-150bp/hg19a/A46083_4_lanes_dupsFlagged.bam.bai,4795,True,A46083,SA409
